State FIPS Code,County FIPS Code,Postal Code,Name,Median Household Income,
00,000,US,United States,"77,719",
01,000,AL,Alabama,"62,248",
01,001,AL,Autauga County,"68,857",
01,003,AL,Baldwin County,"74,248",
01,005,AL,Barbour County,"45,298",
01,007,AL,Bibb County,"56,025",
01,009,AL,Blount County,"64,962",
01,011,AL,Bullock County,"36,204",
01,013,AL,Butler County,"44,729",
01,015,AL,Calhoun County,"51,841",
01,017,AL,Chambers County,"50,390",
01,019,AL,Cherokee County,"56,400",
01,021,AL,Chilton County,"59,165",
01,023,AL,Choctaw County,"47,432",
01,025,AL,Clarke County,"50,868",
01,027,AL,Clay County,"52,077",
01,029,AL,Cleburne County,"59,526",
01,031,AL,Coffee County,"64,737",
01,033,AL,Colbert County,"57,770",
01,035,AL,Conecuh County,"46,702",
01,037,AL,Coosa County,"59,736",
01,039,AL,Covington County,"50,119",
01,041,AL,Crenshaw County,"49,128",
01,043,AL,Cullman County,"61,231",
01,045,AL,Dale County,"54,697",
01,047,AL,Dallas County,"39,013",
01,049,AL,DeKalb County,"50,614",
01,051,AL,Elmore County,"73,125",
01,053,AL,Escambia County,"50,333",
01,055,AL,Etowah County,"52,504",
01,057,AL,Fayette County,"49,235",
01,059,AL,Franklin County,"49,682",
01,061,AL,Geneva County,"50,006",
01,063,AL,Greene County,"34,619",
01,065,AL,Hale County,"42,380",
01,067,AL,Henry County,"55,598",
01,069,AL,Houston County,"59,412",
01,071,AL,Jackson County,"51,479",
01,073,AL,Jefferson County,"64,726",
01,075,AL,Lamar County,"50,929",
01,077,AL,Lauderdale County,"63,895",
01,079,AL,Lawrence County,"61,064",
01,081,AL,Lee County,"62,301",
01,083,AL,Limestone County,"81,811",
01,085,AL,Lowndes County,"42,011",
01,087,AL,Macon County,"40,710",
01,089,AL,Madison County,"86,172",
01,091,AL,Marengo County,"47,228",
01,093,AL,Marion County,"48,829",
01,095,AL,Marshall County,"59,882",
01,097,AL,Mobile County,"55,538",
01,099,AL,Monroe County,"49,314",
01,101,AL,Montgomery County,"60,063",
01,103,AL,Morgan County,"70,387",
01,105,AL,Perry County,"34,176",
01,107,AL,Pickens County,"47,372",
01,109,AL,Pike County,"50,675",
01,111,AL,Randolph County,"57,148",
01,113,AL,Russell County,"52,312",
01,115,AL,St. Clair County,"78,349",
01,117,AL,Shelby County,"90,280",
01,119,AL,Sumter County,"37,021",
01,121,AL,Talladega County,"59,491",
01,123,AL,Tallapoosa County,"60,583",
01,125,AL,Tuscaloosa County,"61,117",
01,127,AL,Walker County,"57,950",
01,129,AL,Washington County,"57,311",
01,131,AL,Wilcox County,"34,426",
01,133,AL,Winston County,"52,280",
02,000,AK,Alaska,"88,696",
02,013,AK,Aleutians East Borough,"83,000",
02,016,AK,Aleutians West Census Area,"104,159",
02,020,AK,Anchorage Borough,"93,881",
02,050,AK,Bethel Census Area,"62,140",
02,060,AK,Bristol Bay Borough,"99,790",
02,063,AK,Chugach Census Area,"95,180",
02,066,AK,Copper River Census Area,"69,092",
02,068,AK,Denali Borough,"86,118",
02,070,AK,Dillingham Census Area,"62,598",
02,090,AK,Fairbanks North Star Borough,"86,780",
02,100,AK,Haines Borough,"78,649",
02,105,AK,Hoonah-Angoon Census Area,"64,720",
02,110,AK,Juneau Borough,"99,748",
02,122,AK,Kenai Peninsula Borough,"74,185",
02,130,AK,Ketchikan Gateway Borough,"87,760",
02,150,AK,Kodiak Island Borough,"86,250",
02,158,AK,Kusilvak Census Area,"42,029",
02,164,AK,Lake and Peninsula Borough,"62,547",
02,170,AK,Matanuska-Susitna Borough,"94,376",
02,180,AK,Nome Census Area,"75,296",
02,185,AK,North Slope Borough,"103,556",
02,188,AK,Northwest Arctic Borough,"78,619",
02,195,AK,Petersburg Borough,"68,449",
02,198,AK,Prince of Wales-Hyder Census Area,"57,304",
02,220,AK,Sitka Borough,"89,264",
02,230,AK,Skagway Municipality,"79,412",
02,240,AK,Southeast Fairbanks Census Area,"79,014",
02,275,AK,Wrangell City and Borough,"65,011",
02,282,AK,Yakutat Borough,"77,108",
02,290,AK,Yukon-Koyukuk Census Area,"49,498",
04,000,AZ,Arizona,"77,158",
04,001,AZ,Apache County,"43,121",
04,003,AZ,Cochise County,"53,011",
04,005,AZ,Coconino County,"71,528",
04,007,AZ,Gila County,"55,804",
04,009,AZ,Graham County,"66,469",
04,011,AZ,Greenlee County,"71,273",
04,012,AZ,La Paz County,"48,801",
04,013,AZ,Maricopa County,"86,973",
04,015,AZ,Mohave County,"56,302",
04,017,AZ,Navajo County,"51,011",
04,019,AZ,Pima County,"69,553",
04,021,AZ,Pinal County,"77,290",
04,023,AZ,Santa Cruz County,"52,400",
04,025,AZ,Yavapai County,"67,317",
04,027,AZ,Yuma County,"61,225",
05,000,AR,Arkansas,"58,748",
05,001,AR,Arkansas County,"50,198",
05,003,AR,Ashley County,"49,560",
05,005,AR,Baxter County,"48,804",
05,007,AR,Benton County,"92,632",
05,009,AR,Boone County,"56,154",
05,011,AR,Bradley County,"44,525",
05,013,AR,Calhoun County,"57,689",
05,015,AR,Carroll County,"53,986",
05,017,AR,Chicot County,"40,381",
05,019,AR,Clark County,"53,561",
05,021,AR,Clay County,"47,663",
05,023,AR,Cleburne County,"56,692",
05,025,AR,Cleveland County,"54,458",
05,027,AR,Columbia County,"44,175",
05,029,AR,Conway County,"53,863",
05,031,AR,Craighead County,"60,204",
05,033,AR,Crawford County,"63,905",
05,035,AR,Crittenden County,"52,153",
05,037,AR,Cross County,"47,669",
05,039,AR,Dallas County,"46,701",
05,041,AR,Desha County,"43,469",
05,043,AR,Drew County,"48,746",
05,045,AR,Faulkner County,"68,543",
05,047,AR,Franklin County,"54,077",
05,049,AR,Fulton County,"46,346",
05,051,AR,Garland County,"53,849",
05,053,AR,Grant County,"64,306",
05,055,AR,Greene County,"55,444",
05,057,AR,Hempstead County,"50,576",
05,059,AR,Hot Spring County,"53,767",
05,061,AR,Howard County,"47,308",
05,063,AR,Independence County,"59,695",
05,065,AR,Izard County,"47,320",
05,067,AR,Jackson County,"45,762",
05,069,AR,Jefferson County,"49,581",
05,071,AR,Johnson County,"50,387",
05,073,AR,Lafayette County,"43,824",
05,075,AR,Lawrence County,"49,015",
05,077,AR,Lee County,"36,735",
05,079,AR,Lincoln County,"53,381",
05,081,AR,Little River County,"48,837",
05,083,AR,Logan County,"51,290",
05,085,AR,Lonoke County,"74,687",
05,087,AR,Madison County,"52,262",
05,089,AR,Marion County,"49,975",
05,091,AR,Miller County,"50,421",
05,093,AR,Mississippi County,"49,484",
05,095,AR,Monroe County,"40,631",
05,097,AR,Montgomery County,"48,991",
05,099,AR,Nevada County,"45,562",
05,101,AR,Newton County,"46,307",
05,103,AR,Ouachita County,"49,690",
05,105,AR,Perry County,"57,996",
05,107,AR,Phillips County,"37,338",
05,109,AR,Pike County,"53,108",
05,111,AR,Poinsett County,"51,635",
05,113,AR,Polk County,"47,766",
05,115,AR,Pope County,"59,016",
05,117,AR,Prairie County,"54,962",
05,119,AR,Pulaski County,"61,344",
05,121,AR,Randolph County,"51,480",
05,123,AR,St. Francis County,"41,708",
05,125,AR,Saline County,"77,844",
05,127,AR,Scott County,"46,026",
05,129,AR,Searcy County,"40,688",
05,131,AR,Sebastian County,"58,112",
05,133,AR,Sevier County,"52,845",
05,135,AR,Sharp County,"45,258",
05,137,AR,Stone County,"43,767",
05,139,AR,Union County,"49,664",
05,141,AR,Van Buren County,"50,332",
05,143,AR,Washington County,"66,158",
05,145,AR,White County,"56,178",
05,147,AR,Woodruff County,"43,259",
05,149,AR,Yell County,"51,997",
06,000,CA,California,"95,473",
06,001,CA,Alameda County,"119,230",
06,003,CA,Alpine County,"83,265",
06,005,CA,Amador County,"80,767",
06,007,CA,Butte County,"63,084",
06,009,CA,Calaveras County,"77,041",
06,011,CA,Colusa County,"66,675",
06,013,CA,Contra Costa County,"122,000",
06,015,CA,Del Norte County,"70,231",
06,017,CA,El Dorado County,"107,063",
06,019,CA,Fresno County,"71,271",
06,021,CA,Glenn County,"64,197",
06,023,CA,Humboldt County,"61,307",
06,025,CA,Imperial County,"58,768",
06,027,CA,Inyo County,"71,656",
06,029,CA,Kern County,"68,436",
06,031,CA,Kings County,"65,768",
06,033,CA,Lake County,"57,945",
06,035,CA,Lassen County,"77,743",
06,037,CA,Los Angeles County,"86,499",
06,039,CA,Madera County,"66,084",
06,041,CA,Marin County,"139,197",
06,043,CA,Mariposa County,"64,352",
06,045,CA,Mendocino County,"65,891",
06,047,CA,Merced County,"58,962",
06,049,CA,Modoc County,"51,996",
06,051,CA,Mono County,"82,973",
06,053,CA,Monterey County,"86,809",
06,055,CA,Napa County,"100,469",
06,057,CA,Nevada County,"87,142",
06,059,CA,Orange County,"109,768",
06,061,CA,Placer County,"110,020",
06,063,CA,Plumas County,"64,121",
06,065,CA,Riverside County,"90,251",
06,067,CA,Sacramento County,"89,984",
06,069,CA,San Benito County,"105,112",
06,071,CA,San Bernardino County,"84,576",
06,073,CA,San Diego County,"103,476",
06,075,CA,San Francisco County,"125,456",
06,077,CA,San Joaquin County,"86,211",
06,079,CA,San Luis Obispo County,"89,809",
06,081,CA,San Mateo County,"151,004",
06,083,CA,Santa Barbara County,"90,155",
06,085,CA,Santa Clara County,"154,573",
06,087,CA,Santa Cruz County,"102,723",
06,089,CA,Shasta County,"71,935",
06,091,CA,Sierra County,"67,675",
06,093,CA,Siskiyou County,"58,975",
06,095,CA,Solano County,"99,117",
06,097,CA,Sonoma County,"100,157",
06,099,CA,Stanislaus County,"81,582",
06,101,CA,Sutter County,"71,968",
06,103,CA,Tehama County,"58,333",
06,105,CA,Trinity County,"52,079",
06,107,CA,Tulare County,"71,368",
06,109,CA,Tuolumne County,"72,329",
06,111,CA,Ventura County,"106,526",
06,113,CA,Yolo County,"91,192",
06,115,CA,Yuba County,"71,493",
08,000,CO,Colorado,"92,790",
08,001,CO,Adams County,"95,278",
08,003,CO,Alamosa County,"50,056",
08,005,CO,Arapahoe County,"97,560",
08,007,CO,Archuleta County,"74,432",
08,009,CO,Baca County,"47,421",
08,011,CO,Bent County,"44,960",
08,013,CO,Boulder County,"97,170",
08,014,CO,Broomfield County,"113,162",
08,015,CO,Chaffee County,"75,298",
08,017,CO,Cheyenne County,"63,177",
08,019,CO,Clear Creek County,"94,093",
08,021,CO,Conejos County,"53,174",
08,023,CO,Costilla County,"38,731",
08,025,CO,Crowley County,"46,979",
08,027,CO,Custer County,"77,137",
08,029,CO,Delta County,"57,075",
08,031,CO,Denver County,"93,572",
08,033,CO,Dolores County,"57,701",
08,035,CO,Douglas County,"144,807",
08,037,CO,Eagle County,"110,598",
08,039,CO,Elbert County,"123,083",
08,041,CO,El Paso County,"88,794",
08,043,CO,Fremont County,"61,015",
08,045,CO,Garfield County,"94,696",
08,047,CO,Gilpin County,"88,589",
08,049,CO,Grand County,"93,257",
08,051,CO,Gunnison County,"79,658",
08,053,CO,Hinsdale County,"71,541",
08,055,CO,Huerfano County,"47,855",
08,057,CO,Jackson County,"96,811",
08,059,CO,Jefferson County,"102,146",
08,061,CO,Kiowa County,"55,523",
08,063,CO,Kit Carson County,"55,304",
08,065,CO,Lake County,"86,215",
08,067,CO,La Plata County,"83,542",
08,069,CO,Larimer County,"88,519",
08,071,CO,Las Animas County,"52,067",
08,073,CO,Lincoln County,"58,034",
08,075,CO,Logan County,"55,415",
08,077,CO,Mesa County,"66,339",
08,079,CO,Mineral County,"37,108",
08,081,CO,Moffat County,"73,875",
08,083,CO,Montezuma County,"60,809",
08,085,CO,Montrose County,"67,113",
08,087,CO,Morgan County,"68,541",
08,089,CO,Otero County,"52,169",
08,091,CO,Ouray County,"92,760",
08,093,CO,Park County,"103,720",
08,095,CO,Phillips County,"59,367",
08,097,CO,Pitkin County,"109,268",
08,099,CO,Prowers County,"50,365",
08,101,CO,Pueblo County,"63,801",
08,103,CO,Rio Blanco County,"72,088",
08,105,CO,Rio Grande County,"55,574",
08,107,CO,Routt County,"112,377",
08,109,CO,Saguache County,"47,829",
08,111,CO,San Juan County,"102,689",
08,113,CO,San Miguel County,"94,927",
08,115,CO,Sedgwick County,"45,999",
08,117,CO,Summit County,"105,135",
08,119,CO,Teller County,"88,089",
08,121,CO,Washington County,"54,255",
08,123,CO,Weld County,"90,675",
08,125,CO,Yuma County,"61,870",
09,000,CT,Connecticut,"91,477",
09,110,CT,Capitol Planning Region,"90,965",
09,120,CT,Greater Bridgeport Planning Region,"92,858",
09,130,CT,Lower Connecticut River Valley Planning Region,"99,807",
09,140,CT,Naugatuck Valley Planning Region,"81,392",
09,150,CT,Northeastern Connecticut Planning Region,"88,129",
09,160,CT,Northwest Hills Planning Region,"91,206",
09,170,CT,South Central Connecticut Planning Region,"80,953",
09,180,CT,Southeastern Connecticut Planning Region,"82,733",
09,190,CT,Western Connecticut Planning Region,"121,285",
10,000,DE,Delaware,"81,615",
10,001,DE,Kent County,"72,498",
10,003,DE,New Castle County,"86,798",
10,005,DE,Sussex County,"78,092",
11,000,DC,District of Columbia,"104,643",
11,001,DC,District of Columbia,"104,643",
12,000,FL,Florida,"73,283",
12,001,FL,Alachua County,"61,843",
12,003,FL,Baker County,"69,399",
12,005,FL,Bay County,"70,859",
12,007,FL,Bradford County,"59,468",
12,009,FL,Brevard County,"77,961",
12,011,FL,Broward County,"74,367",
12,013,FL,Calhoun County,"47,523",
12,015,FL,Charlotte County,"71,381",
12,017,FL,Citrus County,"54,447",
12,019,FL,Clay County,"82,249",
12,021,FL,Collier County,"91,402",
12,023,FL,Columbia County,"58,949",
12,027,FL,DeSoto County,"54,288",
12,029,FL,Dixie County,"50,966",
12,031,FL,Duval County,"69,455",
12,033,FL,Escambia County,"70,838",
12,035,FL,Flagler County,"74,753",
12,037,FL,Franklin County,"55,816",
12,039,FL,Gadsden County,"51,288",
12,041,FL,Gilchrist County,"56,884",
12,043,FL,Glades County,"55,240",
12,045,FL,Gulf County,"66,806",
12,047,FL,Hamilton County,"49,260",
12,049,FL,Hardee County,"53,913",
12,051,FL,Hendry County,"54,619",
12,053,FL,Hernando County,"64,092",
12,055,FL,Highlands County,"51,495",
12,057,FL,Hillsborough County,"76,528",
12,059,FL,Holmes County,"51,582",
12,061,FL,Indian River County,"73,686",
12,063,FL,Jackson County,"50,923",
12,065,FL,Jefferson County,"59,967",
12,067,FL,Lafayette County,"58,096",
12,069,FL,Lake County,"70,784",
12,071,FL,Lee County,"71,811",
12,073,FL,Leon County,"66,063",
12,075,FL,Levy County,"53,214",
12,077,FL,Liberty County,"51,523",
12,079,FL,Madison County,"52,713",
12,081,FL,Manatee County,"79,213",
12,083,FL,Marion County,"58,584",
12,085,FL,Martin County,"76,430",
12,086,FL,Miami-Dade County,"72,030",
12,087,FL,Monroe County,"85,639",
12,089,FL,Nassau County,"92,766",
12,091,FL,Okaloosa County,"81,990",
12,093,FL,Okeechobee County,"54,297",
12,095,FL,Orange County,"78,487",
12,097,FL,Osceola County,"76,416",
12,099,FL,Palm Beach County,"84,789",
12,101,FL,Pasco County,"72,065",
12,103,FL,Pinellas County,"70,684",
12,105,FL,Polk County,"66,709",
12,107,FL,Putnam County,"51,585",
12,109,FL,St. Johns County,"106,281",
12,111,FL,St. Lucie County,"66,876",
12,113,FL,Santa Rosa County,"87,581",
12,115,FL,Sarasota County,"78,218",
12,117,FL,Seminole County,"80,698",
12,119,FL,Sumter County,"79,334",
12,121,FL,Suwannee County,"56,009",
12,123,FL,Taylor County,"50,556",
12,125,FL,Union County,"60,843",
12,127,FL,Volusia County,"66,111",
12,129,FL,Wakulla County,"72,916",
12,131,FL,Walton County,"82,259",
12,133,FL,Washington County,"54,678",
13,000,GA,Georgia,"74,521",
13,001,GA,Appling County,"51,054",
13,003,GA,Atkinson County,"44,890",
13,005,GA,Bacon County,"48,915",
13,007,GA,Baker County,"47,850",
13,009,GA,Baldwin County,"51,206",
13,011,GA,Banks County,"70,067",
13,013,GA,Barrow County,"72,075",
13,015,GA,Bartow County,"78,771",
13,017,GA,Ben Hill County,"40,325",
13,019,GA,Berrien County,"50,581",
13,021,GA,Bibb County,"51,569",
13,023,GA,Bleckley County,"58,877",
13,025,GA,Brantley County,"57,325",
13,027,GA,Brooks County,"46,796",
13,029,GA,Bryan County,"97,746",
13,031,GA,Bulloch County,"54,787",
13,033,GA,Burke County,"51,388",
13,035,GA,Butts County,"59,622",
13,037,GA,Calhoun County,"41,260",
13,039,GA,Camden County,"72,185",
13,043,GA,Candler County,"49,332",
13,045,GA,Carroll County,"71,083",
13,047,GA,Catoosa County,"70,315",
13,049,GA,Charlton County,"52,191",
13,051,GA,Chatham County,"70,556",
13,053,GA,Chattahoochee County,"57,550",
13,055,GA,Chattooga County,"51,225",
13,057,GA,Cherokee County,"104,220",
13,059,GA,Clarke County,"54,550",
13,061,GA,Clay County,"37,858",
13,063,GA,Clayton County,"57,974",
13,065,GA,Clinch County,"45,718",
13,067,GA,Cobb County,"99,134",
13,069,GA,Coffee County,"49,804",
13,071,GA,Colquitt County,"47,821",
13,073,GA,Columbia County,"97,031",
13,075,GA,Cook County,"50,258",
13,077,GA,Coweta County,"93,326",
13,079,GA,Crawford County,"61,519",
13,081,GA,Crisp County,"43,174",
13,083,GA,Dade County,"58,644",
13,085,GA,Dawson County,"89,330",
13,087,GA,Decatur County,"50,452",
13,089,GA,DeKalb County,"77,722",
13,091,GA,Dodge County,"46,462",
13,093,GA,Dooly County,"50,396",
13,095,GA,Dougherty County,"45,863",
13,097,GA,Douglas County,"79,672",
13,099,GA,Early County,"43,444",
13,101,GA,Echols County,"50,311",
13,103,GA,Effingham County,"83,900",
13,105,GA,Elbert County,"50,367",
13,107,GA,Emanuel County,"46,017",
13,109,GA,Evans County,"50,831",
13,111,GA,Fannin County,"60,037",
13,113,GA,Fayette County,"108,579",
13,115,GA,Floyd County,"61,058",
13,117,GA,Forsyth County,"136,347",
13,119,GA,Franklin County,"53,221",
13,121,GA,Fulton County,"94,510",
13,123,GA,Gilmer County,"62,317",
13,125,GA,Glascock County,"54,862",
13,127,GA,Glynn County,"70,067",
13,129,GA,Gordon County,"64,795",
13,131,GA,Grady County,"52,456",
13,133,GA,Greene County,"79,890",
13,135,GA,Gwinnett County,"84,076",
13,137,GA,Habersham County,"71,753",
13,139,GA,Hall County,"78,309",
13,141,GA,Hancock County,"40,099",
13,143,GA,Haralson County,"59,384",
13,145,GA,Harris County,"91,977",
13,147,GA,Hart County,"53,100",
13,149,GA,Heard County,"57,670",
13,151,GA,Henry County,"80,908",
13,153,GA,Houston County,"75,266",
13,155,GA,Irwin County,"52,918",
13,157,GA,Jackson County,"84,439",
13,159,GA,Jasper County,"67,681",
13,161,GA,Jeff Davis County,"47,635",
13,163,GA,Jefferson County,"45,829",
13,165,GA,Jenkins County,"42,539",
13,167,GA,Johnson County,"51,602",
13,169,GA,Jones County,"65,524",
13,171,GA,Lamar County,"63,622",
13,173,GA,Lanier County,"54,586",
13,175,GA,Laurens County,"56,867",
13,177,GA,Lee County,"80,806",
13,179,GA,Liberty County,"57,699",
13,181,GA,Lincoln County,"58,502",
13,183,GA,Long County,"63,146",
13,185,GA,Lowndes County,"54,984",
13,187,GA,Lumpkin County,"72,676",
13,189,GA,McDuffie County,"53,389",
13,191,GA,McIntosh County,"56,573",
13,193,GA,Macon County,"41,895",
13,195,GA,Madison County,"65,296",
13,197,GA,Marion County,"51,270",
13,199,GA,Meriwether County,"54,428",
13,201,GA,Miller County,"50,799",
13,205,GA,Mitchell County,"48,774",
13,207,GA,Monroe County,"80,692",
13,209,GA,Montgomery County,"53,248",
13,211,GA,Morgan County,"69,090",
13,213,GA,Murray County,"63,836",
13,215,GA,Muscogee County,"52,492",
13,217,GA,Newton County,"76,151",
13,219,GA,Oconee County,"114,230",
13,221,GA,Oglethorpe County,"67,249",
13,223,GA,Paulding County,"93,773",
13,225,GA,Peach County,"68,464",
13,227,GA,Pickens County,"78,032",
13,229,GA,Pierce County,"56,330",
13,231,GA,Pike County,"80,652",
13,233,GA,Polk County,"56,271",
13,235,GA,Pulaski County,"46,123",
13,237,GA,Putnam County,"59,068",
13,239,GA,Quitman County,"42,480",
13,241,GA,Rabun County,"60,085",
13,243,GA,Randolph County,"39,926",
13,245,GA,Richmond County,"52,073",
13,247,GA,Rockdale County,"76,081",
13,249,GA,Schley County,"60,750",
13,251,GA,Screven County,"49,034",
13,253,GA,Seminole County,"49,423",
13,255,GA,Spalding County,"56,834",
13,257,GA,Stephens County,"50,685",
13,259,GA,Stewart County,"41,227",
13,261,GA,Sumter County,"43,835",
13,263,GA,Talbot County,"41,656",
13,265,GA,Taliaferro County,"46,469",
13,267,GA,Tattnall County,"48,998",
13,269,GA,Taylor County,"44,708",
13,271,GA,Telfair County,"42,203",
13,273,GA,Terrell County,"45,616",
13,275,GA,Thomas County,"54,989",
13,277,GA,Tift County,"53,295",
13,279,GA,Toombs County,"48,866",
13,281,GA,Towns County,"60,563",
13,283,GA,Treutlen County,"45,699",
13,285,GA,Troup County,"60,839",
13,287,GA,Turner County,"42,769",
13,289,GA,Twiggs County,"50,700",
13,291,GA,Union County,"65,505",
13,293,GA,Upson County,"54,439",
13,295,GA,Walker County,"58,363",
13,297,GA,Walton County,"79,829",
13,299,GA,Ware County,"40,901",
13,301,GA,Warren County,"48,308",
13,303,GA,Washington County,"48,809",
13,305,GA,Wayne County,"55,797",
13,307,GA,Webster County,"45,036",
13,309,GA,Wheeler County,"41,163",
13,311,GA,White County,"66,962",
13,313,GA,Whitfield County,"63,111",
13,315,GA,Wilcox County,"45,726",
13,317,GA,Wilkes County,"48,635",
13,319,GA,Wilkinson County,"51,498",
